CO_CURSO,NT_GER,QE_I63_1,QE_I63_2,QE_I63_3,QE_I63_4,QE_I63_5,QE_I63_6,QE_I63_7,QE_I63_8,QE_I15_A,QE_I15_B,QE_I15_C,QE_I15_D,QE_I15_E,QE_I15_F
21103,29.540000000000003,0.0,0.0625,0.125,0.375,0.125,0.3125,0.0,0.0,0.9375,0.0625,0.0,0.0,0.0,0.0
21271,46.98275862068966,0.0,0.0,0.029411764705882353,0.058823529411764705,0.11764705882352941,0.7941176470588235,0.0,0.0,0.7941176470588235,0.0,0.058823529411764705,0.029411764705882353,0.11764705882352941,0.0
21295,36.27333333333333,0.058823529411764705,0.0,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.4117647058823529,0.17647058823529413,0.0,0.8823529411764706,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0
21353,31.775000000000002,0.0,0.0,0.08333333333333333,0.08333333333333333,0.25,0.5,0.0,0.08333333333333333,0.9166666666666666,0.0,0.0,0.08333333333333333,0.0,0.0
21446,38.21411764705882,0.0,0.010526315789473684,0.06315789473684211,0.09473684210526316,0.24210526315789474,0.5789473684210527,0.0,0.010526315789473684,0.7052631578947368,0.010526315789473684,0.09473684210526316,0.09473684210526316,0.09473684210526316,0.0
21464,41.827777777777776,0.045454545454545456,0.13636363636363635,0.18181818181818182,0.22727272727272727,0.13636363636363635,0.22727272727272727,0.045454545454545456,0.0,0.6818181818181818,0.0,0.09090909090909091,0.13636363636363635,0.09090909090909091,0.0
21600,43.12589285714286,0.0,0.05426356589147287,0.10077519379844961,0.27906976744186046,0.23255813953488372,0.3023255813953488,0.023255813953488372,0.007751937984496124,0.5503875968992248,0.007751937984496124,0.046511627906976744,0.2713178294573643,0.12403100775193798,0.0
21690,30.490476190476187,0.0,0.0,0.09090909090909091,0.22727272727272727,0.18181818181818182,0.5,0.0,0.0,0.7272727272727273,0.0,0.045454545454545456,0.22727272727272727,0.0,0.0
21727,37.86666666666667,0.0,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.7142857142857143,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0
21979,44.03506493506493,0.0125,0.0,0.0375,0.125,0.225,0.5875,0.0125,0.0,0.4625,0.0125,0.15,0.2875,0.075,0.0125
22012,36.65625,0.0,0.0,0.0,0.2222222222222222,0.05555555555555555,0.6111111111111112,0.05555555555555555,0.05555555555555555,0.7222222222222222,0.0,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.0
22017,37.325,0.0,0.0,0.1111111111111111,0.16666666666666666,0.2222222222222222,0.5,0.0,0.0,0.8888888888888888,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0
22047,36.32857142857143,0.045454545454545456,0.09090909090909091,0.13636363636363635,0.09090909090909091,0.22727272727272727,0.36363636363636365,0.045454545454545456,0.0,0.9090909090909091,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0
22061,29.299999999999997,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0
22065,28.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22070,41.922222222222224,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.65,0.0,0.1,0.1,0.1,0.05
2209,40.6089552238806,0.1111111111111111,0.08641975308641975,0.1728395061728395,0.24691358024691357,0.18518518518518517,0.1728395061728395,0.024691358024691357,0.0,0.8641975308641975,0.024691358024691357,0.012345679012345678,0.012345679012345678,0.08641975308641975,0.0
22110,32.23125,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.20588235294117646,0.3235294117647059,0.29411764705882354,0.029411764705882353,0.029411764705882353,0.5882352941176471,0.0,0.17647058823529413,0.17647058823529413,0.029411764705882353,0.029411764705882353
2310,36.47826086956522,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.92,0.0,0.04,0.0,0.04,0.0
2717,50.87352941176471,0.0,0.0,0.0,0.11627906976744186,0.23255813953488372,0.627906976744186,0.023255813953488372,0.0,0.4883720930232558,0.0,0.0,0.4418604651162791,0.06976744186046512,0.0
